epoch,acc_train,acc_test,time_epoch,time_train,time_train_step,time_test,time_test_allreduce,time
0,0.13473910093307495,0.02569059655070305,10.62597107887268,9.910678625106812,0.0021293163299560547,0.6983015537261963,0.01699090003967285,10.625999212265015
1,0.024784421548247337,0.021902814507484436,4.530009984970093,3.6959073543548584,0.0033538341522216797,0.6560087203979492,0.17809391021728516,15.156102657318115
2,0.023950552567839622,0.02297896333038807,4.495720148086548,3.7600228786468506,0.005010128021240234,0.6192417144775391,0.1164555549621582,19.651912927627563
3,0.021805599331855774,0.01982971280813217,4.3670103549957275,3.5995259284973145,0.0030508041381835938,0.6273245811462402,0.14015984535217285,24.01902747154236
4,0.020455874502658844,0.01747993193566799,4.540260553359985,3.6058948040008545,0.0029883384704589844,0.66961669921875,0.26474905014038086,28.559388160705566
5,0.025849906727671623,0.02452455461025238,4.433105945587158,3.7054059505462646,0.004313230514526367,0.6402418613433838,0.08745813369750977,32.99260115623474
6,0.020248450338840485,0.01756644994020462,4.361947536468506,3.610260009765625,0.0024330615997314453,0.6604712009429932,0.0912163257598877,37.354639768600464
7,0.019107498228549957,0.017084039747714996,4.402944087982178,3.6735382080078125,0.0026597976684570312,0.6371142864227295,0.09229159355163574,41.7576699256897
8,0.018941493704915047,0.01807168871164322,4.621998071670532,3.657930850982666,0.003948688507080078,0.6456754207611084,0.3183917999267578,46.37976145744324
9,0.017102647572755814,0.013055826537311077,4.455501079559326,3.7177934646606445,0.002665996551513672,0.6430072784423828,0.09470033645629883,50.83536648750305
10,0.015062683261930943,0.013628453016281128,4.669240951538086,3.9129726886749268,0.0033664703369140625,0.6600615978240967,0.0962066650390625,55.50470232963562
11,0.014533443376421928,0.011272924020886421,4.640158414840698,3.803462266921997,0.003278017044067383,0.6564688682556152,0.18022727966308594,60.1449716091156
12,0.013185335323214531,0.023315422236919403,4.420770645141602,3.6510651111602783,0.002904653549194336,0.6667702198028564,0.1029353141784668,64.56584095954895
13,0.012535089626908302,0.012956657446920872,4.72487211227417,3.9688963890075684,0.002846956253051758,0.6642146110534668,0.09176111221313477,69.29080438613892
14,0.011990976519882679,0.009512166492640972,4.623359441757202,3.6124045848846436,0.0035581588745117188,0.6526052951812744,0.3583495616912842,73.9142529964447
15,0.011604038998484612,0.009022891521453857,4.629793643951416,3.878344774246216,0.002932310104370117,0.6695046424865723,0.08194422721862793,78.54413843154907
16,0.010294875130057335,0.009273091331124306,4.656223297119141,3.9358808994293213,0.0025229454040527344,0.6366584300994873,0.08368396759033203,83.20045804977417
17,0.009890718385577202,0.00846046768128872,4.4197001457214355,3.692734956741333,0.004955291748046875,0.673006534576416,0.05395865440368652,87.62026619911194
18,0.00938598345965147,0.006937168538570404,4.498844861984253,3.759310245513916,0.0030078887939453125,0.6745679378509521,0.06496667861938477,92.11921453475952
